P_t,P_x,T_t,T_p
        0.0037245750,256.393433,        0.0131715536,-254.470825
        0.1341090202,5.035400,        0.6120334864,-277.679443
        0.7866569757,334.533691,        0.9581946135,-166.351318
        0.9787296057,-81.512451,        1.0056560040,-137.222290
        1.0733735561,-27.664185,        1.2323665619,-377.960205
        1.4323230982,495.864868,        1.6101990938,-406.539917
        1.7853416204,-46.829224,        1.8520530462,-353.027344
        2.0727100372,499.755859,        2.2775695324,-431.777954
        2.4460145235,-78.811646,        2.5150470734,-322.555542
        2.7303680182,489.608765,        2.9529629946,-490.310669
        2.9725304842,-203.201294,        2.9833515882,-319.259644
        3.1105345488,-70.526123,        3.1833671331,-289.993286
        3.4306166172,499.755859,        3.6140565872,-394.866943
        3.7878845930,-60.165405,        3.8576581478,-287.475586
        4.1402156353,481.872559,        4.3143681288,-472.076416
        4.4772305489,-70.556641,        4.5308365822,-266.113281
        4.8237555027,429.931641,        4.9977616072,-369.506836
        5.0191910267,-212.066650,        5.0299789906,-276.016235
        5.1122615337,-68.298340,        5.2354381084,-213.867188
        5.4870575666,316.482544,        5.7908865213,-148.376465
        5.9381515980,78.475952,        6.6346020699,-69.839478
        7.0274679661,145.843506,        7.1529151201,-101.150513
       12.0231001377,80.337524,       12.5449969769,-30.563354
