Seg0_Max,Seg0_Min,Seg1_Max,Seg1_Min,Seg2_Max,Seg2_Min,Seg3_Max,Seg3_Min,Period
94.680786,-141.204834,-7.690430,-28.167725,-26.199341,-203.109741,1.785278,-249.053955,-84.668748,        1.3519679308
84.487915,-112.075806,-8.392334,-27.481079,-28.854370,-156.234741,19.424438,-299.530029,-74.787806,        1.2314810753
71.136475,-84.548950,13.259888,-29.876709,-27.801514,-177.795410,5.844116,-252.471924,-71.839469,        1.3522360325
147.628784,-104.415894,0.305176,-23.986816,-19.470215,-195.312500,7.400513,-278.427124,-73.036098,        1.2883439064
131.256104,-128.112793,8.224487,-35.049438,-32.470703,-157.272339,6.881714,-258.087158,-65.490720,        1.2253736258
107.376099,-135.604858,-4.302979,-45.257568,-26.977539,-136.672974,4.516602,-291.168213,-73.268469,        1.2142778635
103.683472,-96.847534,0.411987,-29.541016,-17.211914,-213.775635,36.514282,-261.184692,-72.054791,        1.2472361326
79.483032,-160.186768,-6.057739,-28.915405,-23.834229,-175.155640,39.855957,-283.508301,-83.516550,        1.2480698824
101.272583,-196.517944,1.220703,-28.503418,-28.808594,-193.496704,7.690430,-267.822266,-76.147341,        1.2465156317
65.414429,-200.088501,-7.354736,-26.275635,-19.836426,-208.053589,34.774780,-262.420654,-83.740568,        1.3035149574
153.045654,-137.573242,15.930176,-55.175781,-28.244019,-216.934204,29.830933,-266.860962,-69.437945,        1.2107584476
